id,name,country,category,followers,engagement_rate,fit_score,commission_rate,cost,avg_views,avg_likes,gender_ratio,age_group
1,KOL_1,MY,beauty,13278,0.1123,0.3977,0.239,496.52,3385,380,0.03,18-24
2,KOL_2,PH,fashion,1434,0.226,0.7909,0.2949,129.98,430,97,0.81,18-24
3,KOL_3,TH,beauty,267415,0.0751,0.4088,0.1293,984.92,70023,5258,0.36,25-34
4,KOL_4,PH,beauty,15695,0.1216,0.9812,0.2352,280.2,5211,633,0.62,25-34
5,KOL_5,MY,fashion,19116,0.0414,0.5026,0.2666,494.18,5557,230,0.28,35+
6,KOL_6,VN,beauty,270556,0.051,0.4869,0.1809,426.57,73246,3735,0.53,18-24
7,KOL_7,ID,home,7216,0.1736,0.7817,0.3343,237.5,1861,323,0.23,18-24
8,KOL_8,VN,home,520652,0.0445,0.96,0.1413,275.21,162880,7248,0.4,35+
9,KOL_9,VN,fmcg,44718,0.0594,0.6773,0.2698,158.93,14451,858,0.36,18-24
10,KOL_10,ID,fmcg,21915,0.1365,0.407,0.2396,226.2,7055,963,0.38,25-34
11,KOL_11,VN,home,82512,0.1149,0.8045,0.2569,293.0,26201,3010,0.11,25-34
12,KOL_12,SG,fashion,1053,0.3,0.4844,0.3008,727.66,276,82,0.87,25-34
13,KOL_13,SG,beauty,632324,0.0651,0.8338,0.1799,6407.66,190102,12375,0.02,25-34
14,KOL_14,SG,beauty,972065,0.0797,0.4686,0.1286,4710.99,306715,24445,0.82,35+
15,KOL_15,SG,fmcg,234629,0.0864,0.4156,0.2164,2559.11,76328,6594,0.76,35+
16,KOL_16,SG,fmcg,6107,0.1891,0.5614,0.2621,859.83,1757,332,0.06,18-24
17,KOL_17,MY,fashion,40161,0.0892,0.7955,0.1867,926.34,10168,906,0.86,18-24
18,KOL_18,SG,fmcg,46500,0.1038,0.3926,0.2043,1145.86,15499,1608,0.81,18-24
19,KOL_19,MY,beauty,8062,0.1663,0.9047,0.2561,760.94,2760,458,0.34,18-24
20,KOL_20,PH,fashion,4116,0.1849,0.4284,0.3374,167.73,1067,197,0.44,35+
21,KOL_21,ID,fashion,9856,0.3,0.9485,0.2906,645.43,2956,886,0.21,25-34
22,KOL_22,PH,home,272635,0.0648,0.4856,0.1623,203.98,92096,5967,1.0,35+
23,KOL_23,SG,beauty,73788,0.0535,0.9781,0.2548,3044.02,18915,1011,0.05,25-34
24,KOL_24,ID,beauty,79615,0.0652,0.3561,0.2395,413.39,25435,1658,0.86,25-34
25,KOL_25,VN,home,5033,0.186,0.3574,0.3435,82.05,1362,253,0.67,25-34
26,KOL_26,MY,beauty,7484,0.1317,0.6201,0.2958,623.87,2447,322,1.0,18-24
27,KOL_27,ID,home,76307,0.0782,0.9166,0.2085,350.08,22666,1772,0.83,35+
28,KOL_28,VN,beauty,9666,0.1112,0.5096,0.3439,231.54,2553,283,0.26,18-24
29,KOL_29,ID,home,30374,0.0722,0.8023,0.2305,219.51,8622,622,0.91,18-24
30,KOL_30,ID,home,7939,0.2295,0.5335,0.2662,188.42,2437,559,0.55,25-34
31,KOL_31,SG,beauty,24663,0.0538,0.9328,0.2635,1782.24,8550,459,0.55,25-34
32,KOL_32,MY,home,6050,0.1954,0.9805,0.271,476.27,1768,345,0.67,25-34
33,KOL_33,ID,fashion,526118,0.1055,0.948,0.2176,2093.49,143133,15100,0.88,18-24
34,KOL_34,VN,fashion,6442,0.2497,0.7689,0.2767,261.92,1720,429,0.38,18-24
35,KOL_35,ID,fashion,333239,0.0495,0.5448,0.1224,486.63,95966,4750,0.4,25-34
36,KOL_36,SG,home,910892,0.0516,0.5798,0.2139,4155.97,242841,12530,0.88,25-34
37,KOL_37,TH,fmcg,5349,0.1108,0.542,0.3106,316.08,1860,206,0.12,35+
38,KOL_38,SG,fashion,1727,0.2056,0.9479,0.2864,1027.53,449,92,0.95,25-34
39,KOL_39,TH,fmcg,96951,0.1421,0.5102,0.2126,1012.09,29082,4132,0.55,18-24
