id,name,country,category,followers,engagement_rate,fit_score,cost,avg_views,avg_likes,gender_ratio,age_group
1,KOL_1,MY,fashion,3358,0.3,0.5589,154.77,889,266,0.45,25-34
2,KOL_2,MY,beauty,58807,0.3,0.963,693.25,18257,5477,0.39,18-24
3,KOL_3,TH,fashion,2568,0.3,0.8842,69.31,840,252,0.6,35+
4,KOL_4,MY,fashion,2040,0.3,0.3428,191.29,552,165,0.3,18-24
5,KOL_5,PH,beauty,95164,0.3,0.3659,561.37,29218,8765,0.33,35+
6,KOL_6,MY,fashion,2313,0.3,0.3351,138.71,672,201,0.73,35+
7,KOL_7,MY,tech,48929,0.3,0.8454,727.61,15787,4736,0.04,25-34
8,KOL_8,PH,tech,2412,0.3,0.8118,136.11,681,204,0.11,35+
9,KOL_9,TH,beauty,29210,0.3,0.9325,738.3,7812,2343,0.13,18-24
10,KOL_10,MY,fashion,75288,0.3,0.828,478.12,21607,6482,0.86,25-34
11,KOL_11,PH,tech,4376,0.3,0.7706,79.1,1388,416,0.4,35+
12,KOL_12,ID,tech,1849,0.3,0.4245,174.11,642,192,0.74,18-24
13,KOL_13,MY,beauty,4076,0.3,0.9861,173.41,1218,365,0.22,25-34
14,KOL_14,TH,tech,9942,0.3,0.8928,183.2,3000,900,0.86,18-24
15,KOL_15,PH,beauty,8354,0.3,0.4082,50.92,2805,841,0.22,35+
16,KOL_16,ID,fashion,2728,0.3,0.5633,99.26,815,244,0.54,35+
17,KOL_17,PH,fashion,4874,0.3,0.4878,154.9,1358,407,0.84,18-24
18,KOL_18,PH,tech,6242,0.3,0.8107,121.26,1713,513,0.29,35+
19,KOL_19,PH,fashion,68203,0.3,0.9747,623.32,21038,6311,0.85,35+
20,KOL_20,MY,fashion,85379,0.3,0.7297,599.76,23869,7160,0.61,18-24
21,KOL_21,PH,tech,95533,0.3,0.9896,555.35,32346,9703,0.06,18-24
22,KOL_22,TH,tech,18412,0.3,0.61,383.36,4888,1466,0.11,25-34
23,KOL_23,ID,tech,7351,0.3,0.6132,96.45,2053,615,0.24,25-34
24,KOL_24,ID,beauty,8119,0.3,0.7154,129.07,2079,623,0.95,25-34
25,KOL_25,PH,tech,3925,0.3,0.7494,126.13,1345,403,0.91,25-34
26,KOL_26,MY,tech,295279,0.3,0.8831,1408.98,98279,29483,0.52,18-24
27,KOL_27,PH,fashion,5175,0.3,0.6996,127.69,1346,403,0.38,25-34
28,KOL_28,MY,fashion,94972,0.3,0.3063,608.8,31632,9489,0.82,25-34
29,KOL_29,TH,beauty,68723,0.3,0.7766,521.93,21107,6332,0.15,18-24
30,KOL_30,TH,beauty,6423,0.3,0.362,133.43,1934,580,0.19,35+
31,KOL_31,ID,fashion,3012,0.3,0.3413,145.21,795,238,0.22,18-24
32,KOL_32,ID,tech,1697,0.3,0.3275,66.64,502,150,0.03,35+
33,KOL_33,PH,fashion,4052,0.3,0.7376,98.17,1306,391,0.41,35+
34,KOL_34,ID,tech,7106,0.3,0.4428,115.53,2272,681,0.82,35+
35,KOL_35,TH,fashion,3925,0.3,0.3786,116.56,1217,365,0.1,18-24
36,KOL_36,PH,beauty,78735,0.3,0.6474,737.84,21664,6499,0.31,18-24
37,KOL_37,MY,fashion,9568,0.3,0.759,180.4,2430,729,0.68,18-24
38,KOL_38,PH,fashion,66408,0.3,0.9941,428.63,21338,6401,0.32,25-34
39,KOL_39,TH,beauty,2449,0.3,0.3073,52.99,681,204,0.25,35+
40,KOL_40,TH,beauty,6029,0.3,0.9575,109.65,1784,535,0.75,18-24
41,KOL_41,PH,tech,326918,0.3,0.5915,1790.13,96428,28928,0.28,18-24
42,KOL_42,TH,tech,34484,0.3,0.6112,466.47,9331,2799,0.22,35+
43,KOL_43,PH,fashion,63345,0.3,0.5204,394.37,20901,6270,0.51,35+
44,KOL_44,MY,fashion,867979,0.0873,0.8816,2445.37,267662,23364,0.78,18-24
45,KOL_45,PH,tech,277173,0.2853,0.8221,2538.04,90615,25856,0.32,35+
46,KOL_46,ID,beauty,45438,0.3,0.4749,406.56,11434,3430,0.56,35+
47,KOL_47,ID,beauty,3136,0.3,0.384,194.01,956,286,0.26,35+
48,KOL_48,MY,tech,21984,0.3,0.4205,470.6,7551,2265,0.86,18-24
49,KOL_49,TH,beauty,3217,0.3,0.7481,163.04,840,252,0.37,25-34
50,KOL_50,TH,beauty,73041,0.3,0.8298,327.01,22239,6671,0.42,25-34
