N,Algorithm,Mean_Time_Sec,Std_Time_Sec,Mean_GMV,Std_GMV
50,Simulated Annealing,1.4391,0.0594,38803.88,7374.63
100,Simulated Annealing,1.8816,0.272,45278.0,7635.69
200,Simulated Annealing,2.5347,0.2515,49603.72,10556.74
500,Simulated Annealing,3.9636,0.3739,53389.54,7718.48
50,Hill Climber,0.276,0.0643,24266.62,4862.76
100,Hill Climber,0.2531,0.0744,26721.97,8382.64
200,Hill Climber,0.2867,0.0706,27283.42,4012.61
500,Hill Climber,0.3675,0.0647,28118.12,5511.25
50,Random Search,0.2337,0.0448,42691.88,7060.17
100,Random Search,0.2553,0.0553,47238.27,8705.63
200,Random Search,0.3469,0.0409,52974.36,11640.82
500,Random Search,0.5733,0.0639,54740.92,9503.06
50,Genetic Algorithm,0.4232,0.0856,41991.45,9990.97
100,Genetic Algorithm,0.5741,0.0947,53115.6,12215.88
200,Genetic Algorithm,0.7455,0.1064,63511.52,14383.03
500,Genetic Algorithm,1.3668,0.1877,73305.32,8723.08
50,Tabu Search,0.522,0.1342,41696.72,10113.31
100,Tabu Search,1.0007,0.1518,53170.98,12459.3
200,Tabu Search,—,—,—,—
500,Tabu Search,—,—,—,—
50,Greedy Ranking,0.0291,0.0262,40735.09,11420.19
100,Greedy Ranking,0.0581,0.0604,53036.38,12450.72
200,Greedy Ranking,0.1054,0.0818,64401.22,13897.64
500,Greedy Ranking,0.348,0.2136,71864.96,9622.74
